total_adults_attending,total_kids_attending,total
162,52,214
156,50,206
178,66,244
165,61,226
166,58,224
168,61,229
166,59,225
170,59,229
177,79,256
161,56,217
166,47,213
172,61,233
170,54,224
164,55,219
179,64,243
159,55,214
185,69,254
167,71,238
165,55,220
178,69,247
170,64,234
179,62,241
166,63,229
181,69,250
170,60,230
168,71,239
171,70,241
174,75,249
178,59,237
172,61,233
183,77,260
174,70,244
173,62,235
170,44,214
171,65,236
161,64,225
172,52,224
161,51,212
160,64,224
171,66,237
173,70,243
164,50,214
165,61,226
159,48,207
165,59,224
166,68,234
168,74,242
172,63,235
169,71,240
173,60,233
167,62,229
159,45,204
166,70,236
160,63,223
171,61,232
187,81,268
170,69,239
169,71,240
170,61,231
176,61,237
160,56,216
177,50,227
175,52,227
173,68,241
155,55,210
173,63,236
151,46,197
163,47,210
153,56,209
167,62,229
159,56,215
179,54,233
164,53,217
166,56,222
176,73,249
173,49,222
172,65,237
179,77,256
158,68,226
174,66,240
171,65,236
176,59,235
163,62,225
162,61,223
173,61,234
174,62,236
180,71,251
165,62,227
163,61,224
182,59,241
171,48,219
158,52,210
168,64,232
176,52,228
166,63,229
173,63,236
170,74,244
170,45,215
171,62,233
162,60,222
162,47,209
172,54,226
178,63,241
171,62,233
180,58,238
173,71,244
182,61,243
166,59,225
174,63,237
173,60,233
176,51,227
166,56,222
173,60,233
174,69,243
171,59,230
170,63,233
170,58,228
167,58,225
160,52,212
171,64,235
174,69,243
173,75,248
165,54,219
172,67,239
164,67,231
172,65,237
172,66,238
164,42,206
170,65,235
165,64,229
170,59,229
159,62,221
162,56,218
173,69,242
163,60,223
164,65,229
168,60,228
164,54,218
177,71,248
178,61,239
159,61,220
162,70,232
159,64,223
170,64,234
171,67,238
162,68,230
170,59,229
153,48,201
169,61,230
171,60,231
175,66,241
181,68,249
172,66,238
172,61,233
174,64,238
165,65,230
166,63,229
174,65,239
186,72,258
159,48,207
173,65,238
173,68,241
167,59,226
161,61,222
173,60,233
180,63,243
175,58,233
159,55,214
172,54,226
172,75,247
163,63,226
171,76,247
175,64,239
163,62,225
181,70,251
153,56,209
175,63,238
174,65,239
164,60,224
174,69,243
165,58,223
171,69,240
180,57,237
159,51,210
172,65,237
165,70,235
166,60,226
170,71,241
168,70,238
176,72,248
159,50,209
162,62,224
183,66,249
180,60,240
168,66,234
177,73,250
179,59,238
171,70,241
162,54,216
158,60,218
162,49,211
170,53,223
153,64,217
178,56,234
169,60,229
157,65,222
177,54,231
163,57,220
175,74,249
164,70,234
166,65,231
169,61,230
169,68,237
173,72,245
172,64,236
159,62,221
168,59,227
186,68,254
160,68,228
164,45,209
151,55,206
159,72,231
178,65,243
163,68,231
167,66,233
177,58,235
148,45,193
160,50,210
179,62,241
174,70,244
159,72,231
150,50,200
160,60,220
158,66,224
163,57,220
178,71,249
175,64,239
167,61,228
150,52,202
172,67,239
171,64,235
180,70,250
168,60,228
171,66,237
172,74,246
176,53,229
166,68,234
167,64,231
169,55,224
172,82,254
169,57,226
163,60,223
173,66,239
161,57,218
173,68,241
163,62,225
183,55,238
165,67,232
171,60,231
171,65,236
160,53,213
157,66,223
163,57,220
171,67,238
166,55,221
166,59,225
180,57,237
178,67,245
164,61,225
168,64,232
163,50,213
178,68,246
163,63,226
168,55,223
185,62,247
168,65,233
172,47,219
175,61,236
165,62,227
165,53,218
165,70,235
167,56,223
178,52,230
152,53,205
173,69,242
168,60,228
154,47,201
165,59,224
180,65,245
155,56,211
170,55,225
170,73,243
167,59,226
169,58,227
168,66,234
173,75,248
180,79,259
169,61,230
165,51,216
162,55,217
165,62,227
168,64,232
174,57,231
174,56,230
162,59,221
175,53,228
156,58,214
174,63,237
163,52,215
168,72,240
179,67,246
169,66,235
171,56,227
164,57,221
168,63,231
180,66,246
177,58,235
170,64,234
163,64,227
174,69,243
163,66,229
154,59,213
162,52,214
172,62,234
169,50,219
170,73,243
171,62,233
182,66,248
182,62,244
159,56,215
177,70,247
176,74,250
174,57,231
171,67,238
160,60,220
165,58,223
161,53,214
160,55,215
175,63,238
170,70,240
176,54,230
179,71,250
174,61,235
174,75,249
178,52,230
163,54,217
169,63,232
171,64,235
163,58,221
168,57,225
175,59,234
166,59,225
167,53,220
167,61,228
166,58,224
174,67,241
178,64,242
166,60,226
166,67,233
169,68,237
168,67,235
172,66,238
171,65,236
169,72,241
164,59,223
175,71,246
179,61,240
165,53,218
170,63,233
167,69,236
158,52,210
171,55,226
164,57,221
170,71,241
154,53,207
172,63,235
167,72,239
176,67,243
172,63,235
178,63,241
166,56,222
167,65,232
176,56,232
170,59,229
157,48,205
168,66,234
167,61,228
162,62,224
154,50,204
171,65,236
161,72,233
154,62,216
179,64,243
165,63,228
164,58,222
178,64,242
167,62,229
173,59,232
174,66,240
166,61,227
176,68,244
174,71,245
165,60,225
178,50,228
180,67,247
165,58,223
175,63,238
166,64,230
160,56,216
176,76,252
183,61,244
160,62,222
165,67,232
179,66,245
162,55,217
163,53,216
160,53,213
175,60,235
172,63,235
178,50,228
168,61,229
169,64,233
178,64,242
168,63,231
174,58,232
180,70,250
173,70,243
163,57,220
172,74,246
174,56,230
168,74,242
178,74,252
162,56,218
164,64,228
168,72,240
170,58,228
162,57,219
166,60,226
167,60,227
166,67,233
179,72,251
175,68,243
166,74,240
162,59,221
170,57,227
163,53,216
168,70,238
169,61,230
166,59,225
160,50,210
164,54,218
172,60,232
164,81,245
164,51,215
161,58,219
179,66,245
167,64,231
157,54,211
170,56,226
178,68,246
164,59,223
169,55,224
169,65,234
169,75,244
168,69,237
159,62,221
177,74,251
155,59,214
173,58,231
181,64,245
158,57,215
167,53,220
168,57,225
168,63,231
172,65,237
179,62,241
182,75,257
171,62,233
159,60,219
176,63,239
177,72,249
167,67,234
176,67,243
189,73,262
167,69,236
168,58,226
171,66,237
164,54,218
174,60,234
156,69,225
173,64,237
170,63,233
179,58,237
161,67,228
171,61,232
173,68,241
166,56,222
167,63,230
179,52,231
168,56,224
169,64,233
174,64,238
168,64,232
162,62,224
169,61,230
167,57,224
169,61,230
166,51,217
172,67,239
159,51,210
170,65,235
172,62,234
172,70,242
165,56,221
161,52,213
164,68,232
169,60,229
168,62,230
168,52,220
175,68,243
170,66,236
166,64,230
158,61,219
177,61,238
159,55,214
164,62,226
170,64,234
171,56,227
170,51,221
177,69,246
166,63,229
172,59,231
166,63,229
172,51,223
170,63,233
163,63,226
177,72,249
175,65,240
167,67,234
166,61,227
178,73,251
175,61,236
183,68,251
182,62,244
163,74,237
169,70,239
172,60,232
172,64,236
156,62,218
167,67,234
153,55,208
170,61,231
167,55,222
183,66,249
159,60,219
168,69,237
159,52,211
174,62,236
168,71,239
166,64,230
171,66,237
161,56,217
161,71,232
161,68,229
155,52,207
177,71,248
172,67,239
164,62,226
172,64,236
168,68,236
168,57,225
165,58,223
170,68,238
178,73,251
162,63,225
175,66,241
163,64,227
181,71,252
163,54,217
177,65,242
169,68,237
169,61,230
173,74,247
167,53,220
170,61,231
158,53,211
168,55,223
175,70,245
158,53,211
163,47,210
166,63,229
171,74,245
155,59,214
163,70,233
165,61,226
175,69,244
169,63,232
166,46,212
172,69,241
162,62,224
162,65,227
172,56,228
176,69,245
161,62,223
170,69,239
177,53,230
169,63,232
167,54,221
166,66,232
177,57,234
172,69,241
168,57,225
165,56,221
169,50,219
164,63,227
166,60,226
176,58,234
158,50,208
174,62,236
162,53,215
163,54,217
164,55,219
164,53,217
165,56,221
165,59,224
160,60,220
177,68,245
178,72,250
162,62,224
176,66,242
170,64,234
164,50,214
175,62,237
179,70,249
171,63,234
161,59,220
162,57,219
170,58,228
156,55,211
168,59,227
163,55,218
168,59,227
166,71,237
173,71,244
163,57,220
164,66,230
171,69,240
162,64,226
170,59,229
156,56,212
168,64,232
169,69,238
172,67,239
162,62,224
173,57,230
173,61,234
173,68,241
178,59,237
168,56,224
172,68,240
177,60,237
174,70,244
173,66,239
156,57,213
164,58,222
164,55,219
169,52,221
174,69,243
175,57,232
168,59,227
170,72,242
162,51,213
169,51,220
163,67,230
165,65,230
168,62,230
160,59,219
181,70,251
163,58,221
154,45,199
170,55,225
169,53,222
172,53,225
175,63,238
162,61,223
162,54,216
167,70,237
176,57,233
164,50,214
167,66,233
162,56,218
188,72,260
171,66,237
167,62,229
169,61,230
180,65,245
163,59,222
175,54,229
179,68,247
177,61,238
171,62,233
166,69,235
170,59,229
171,73,244
181,66,247
170,58,228
163,61,224
177,59,236
167,61,228
174,66,240
170,68,238
176,72,248
174,63,237
180,70,250
171,60,231
166,61,227
174,70,244
166,61,227
171,57,228
168,65,233
166,56,222
168,61,229
175,67,242
172,63,235
166,51,217
172,72,244
171,59,230
167,58,225
168,61,229
172,59,231
161,51,212
165,57,222
164,56,220
168,52,220
164,50,214
164,54,218
168,51,219
170,66,236
172,70,242
165,69,234
165,63,228
179,61,240
163,58,221
166,69,235
168,64,232
160,69,229
166,61,227
173,69,242
173,56,229
163,57,220
166,62,228
172,62,234
167,53,220
162,54,216
174,71,245
162,62,224
175,67,242
152,53,205
165,63,228
160,73,233
169,62,231
174,58,232
179,76,255
164,68,232
165,61,226
170,59,229
179,70,249
163,59,222
172,63,235
167,61,228
181,70,251
164,68,232
154,58,212
171,59,230
163,53,216
165,63,228
168,55,223
168,59,227
180,67,247
160,58,218
174,52,226
165,54,219
167,59,226
169,67,236
172,68,240
163,60,223
173,62,235
173,80,253
175,69,244
161,60,221
178,72,250
177,57,234
163,73,236
164,58,222
169,58,227
178,67,245
177,59,236
178,68,246
172,63,235
177,82,259
167,67,234
172,62,234
179,78,257
168,63,231
171,56,227
169,51,220
171,66,237
165,55,220
175,63,238
178,73,251
160,63,223
166,65,231
164,50,214
169,66,235
181,61,242
164,63,227
173,57,230
184,64,248
160,58,218
179,70,249
176,66,242
183,54,237
155,62,217
159,74,233
170,70,240
175,57,232
168,66,234
174,72,246
167,58,225
175,74,249
164,51,215
163,53,216
181,63,244
169,72,241
176,50,226
154,65,219
164,57,221
178,65,243
165,57,222
165,60,225
160,60,220
172,65,237
183,57,240
168,64,232
171,62,233
166,61,227
167,59,226
169,74,243
165,50,215
159,57,216
168,54,222
164,57,221
157,58,215
172,69,241
171,62,233
155,48,203
163,53,216
170,75,245
165,70,235
163,64,227
182,58,240
166,46,212
166,59,225
162,64,226
167,60,227
173,61,234
170,62,232
166,69,235
161,53,214
170,58,228
163,61,224
166,59,225
180,61,241
157,60,217
167,57,224
186,65,251
176,58,234
155,49,204
163,59,222
166,59,225
165,62,227
171,55,226
172,67,239
166,62,228
172,70,242
170,70,240
169,52,221
168,69,237
185,69,254
177,70,247
172,59,231
168,68,236
176,68,244
169,57,226
175,61,236
168,52,220
165,62,227
165,67,232
164,56,220
159,59,218
181,67,248
176,69,245
174,68,242
160,51,211
166,77,243
149,57,206
165,61,226
179,68,247
163,62,225
173,59,232
156,51,207
160,48,208
163,59,222
159,50,209
167,51,218
164,61,225
167,68,235
184,61,245
160,59,219
163,74,237
172,65,237
170,59,229
172,52,224
166,59,225
176,63,239
177,64,241
173,65,238
166,59,225
178,63,241
176,74,250
172,57,229
164,65,229
180,58,238
165,60,225
170,68,238
165,57,222
172,62,234
183,65,248
165,61,226
179,55,234
179,72,251
168,50,218
164,64,228
166,53,219
177,68,245
171,67,238
156,61,217
183,66,249
170,57,227
174,53,227
177,68,245
155,62,217
175,73,248
163,54,217
172,58,230
162,66,228
168,61,229
162,53,215
171,60,231
175,66,241
178,66,244
171,62,233
176,75,251
169,55,224
164,65,229
172,54,226
165,70,235
165,67,232
172,61,233
169,68,237
163,57,220
175,69,244
155,66,221
178,59,237
172,66,238
165,53,218
163,53,216
168,62,230
168,54,222
166,60,226
170,67,237
170,64,234
173,72,245
170,58,228
162,46,208
173,70,243
169,71,240
169,64,233
165,70,235
178,60,238
158,52,210
171,62,233
157,49,206
173,57,230
160,72,232
182,71,253
177,68,245
168,71,239
170,52,222
171,60,231
168,62,230
185,74,259
169,57,226
179,58,237
166,52,218
177,59,236
169,59,228
164,61,225
171,65,236
167,68,235
169,73,242
176,63,239
169,64,233
165,63,228
165,62,227
160,52,212
173,62,235
174,63,237
167,57,224
162,64,226
176,53,229
168,61,229
175,68,243
164,51,215
176,65,241
162,76,238
178,70,248
165,62,227
173,53,226
158,54,212
166,54,220
166,63,229
168,60,228
167,48,215
165,72,237
175,68,243
170,52,222
172,69,241
173,61,234
158,59,217
159,55,214
174,70,244
169,64,233
166,65,231
153,49,202
168,64,232
173,68,241
179,64,243
170,65,235
160,60,220
167,63,230
179,72,251
158,53,211
165,60,225
165,60,225
159,56,215
177,63,240
174,66,240
163,61,224
176,71,247
161,62,223
172,64,236
158,58,216
164,61,225
169,56,225
174,66,240
174,57,231
177,69,246
170,54,224
167,55,222
177,85,262
153,59,212
163,68,231
145,43,188
171,64,235
175,58,233
179,60,239
181,72,253
169,71,240
180,62,242
165,58,223
183,70,253
171,65,236
171,59,230
174,67,241
174,64,238
160,51,211
163,54,217
177,70,247
161,58,219
164,74,238
168,57,225
173,68,241
176,54,230
173,68,241
161,59,220
162,56,218
178,60,238
178,66,244
166,56,222
170,64,234
161,59,220
172,58,230
169,64,233
176,58,234
172,63,235
179,67,246
159,60,219
161,59,220
174,60,234
168,65,233
166,61,227
166,64,230
157,60,217
143,48,191
157,58,215
167,61,228
165,71,236
185,68,253
177,72,249
173,62,235
186,72,258
165,63,228
163,59,222
173,65,238
173,70,243
166,68,234
168,54,222
171,61,232
179,54,233
177,71,248
171,71,242
171,47,218
176,66,242
175,83,258
173,70,243
166,52,218
179,75,254
159,78,237
174,75,249
173,60,233
166,57,223
171,63,234
167,53,220
166,49,215
168,66,234
170,56,226
167,56,223
179,62,241
173,70,243
167,59,226
163,56,219
169,61,230
164,55,219
167,56,223
171,49,220
157,58,215
168,55,223
164,46,210
165,59,224
178,66,244
164,52,216
171,63,234
166,67,233
174,66,240
157,57,214
179,66,245
166,59,225
172,68,240
168,64,232
170,58,228
180,57,237
173,67,240
167,61,228
172,65,237
178,54,232
174,70,244
172,54,226
181,78,259
170,63,233
164,64,228
169,54,223
170,54,224
171,60,231
166,58,224
179,60,239
169,71,240
164,62,226
158,52,210
184,69,253
164,52,216
154,76,230
173,58,231
164,66,230
173,64,237
172,59,231
169,61,230
176,57,233
167,67,234
168,63,231
167,58,225
162,56,218
174,65,239
164,72,236
177,65,242
170,69,239
169,59,228
179,61,240
165,56,221
171,64,235
164,52,216
163,55,218
159,56,215
175,65,240
180,74,254
174,67,241
168,65,233
169,53,222
165,55,220
175,65,240
174,66,240
153,61,214
162,62,224
164,56,220
159,56,215
170,56,226
169,58,227
184,71,255
184,71,255
173,56,229
175,66,241
164,62,226
181,70,251
176,67,243
165,52,217
171,64,235
172,68,240
174,60,234
163,52,215
157,72,229
163,63,226
174,63,237
177,63,240
171,64,235
167,59,226
163,58,221
180,57,237
174,65,239
173,66,239
168,59,227
174,66,240
157,58,215
162,55,217
172,60,232
175,73,248
174,73,247
167,56,223
167,60,227
173,66,239
164,57,221
161,51,212
159,66,225
161,61,222
175,54,229
156,64,220
176,52,228
161,48,209
172,58,230
171,57,228
173,64,237
164,57,221
172,63,235
174,63,237
174,72,246
168,53,221
169,64,233
173,54,227
164,50,214
168,59,227
166,61,227
169,55,224
165,65,230
175,64,239
175,60,235
172,60,232
169,68,237
170,64,234
170,65,235
152,52,204
170,61,231
157,55,212
165,64,229
158,52,210
161,60,221
168,50,218
173,66,239
173,54,227
172,61,233
181,64,245
173,77,250
176,66,242
171,66,237
164,56,220
170,63,233
169,69,238
167,55,222
166,66,232
177,72,249
161,49,210
169,67,236
176,65,241
173,60,233
162,58,220
165,66,231
178,69,247
172,66,238
172,63,235
168,66,234
165,59,224
171,54,225
181,66,247
160,59,219
173,59,232
169,58,227
164,72,236
163,65,228
177,61,238
157,50,207
164,72,236
174,66,240
161,62,223
171,65,236
167,67,234
165,61,226
164,69,233
164,64,228
162,62,224
165,59,224
169,60,229
167,62,229
160,54,214
179,65,244
161,67,228
171,66,237
165,58,223
149,47,196
166,62,228
173,66,239
164,60,224
176,59,235
176,56,232
161,65,226
175,71,246
166,61,227
173,79,252
169,65,234
159,63,222
178,63,241
165,58,223
155,61,216
163,62,225
169,75,244
178,70,248
167,62,229
165,69,234
164,64,228
176,67,243
161,45,206
169,62,231
168,63,231
174,68,242
173,54,227
173,66,239
180,64,244
170,62,232
164,65,229
175,63,238
163,59,222
167,62,229
159,60,219
168,63,231
176,72,248
166,57,223
171,55,226
172,51,223
175,67,242
177,73,250
169,57,226
156,58,214
169,59,228
162,62,224
164,57,221
165,68,233
172,65,237
180,71,251
173,66,239
165,59,224
155,53,208
165,57,222
170,65,235
173,56,229
175,69,244
177,71,248
162,62,224
169,61,230
172,79,251
166,64,230
162,54,216
183,66,249
176,67,243
173,61,234
166,64,230
169,69,238
165,52,217
177,61,238
171,62,233
174,55,229
181,57,238
164,54,218
172,57,229
181,65,246
163,67,230
179,66,245
180,70,250
168,70,238
172,59,231
165,70,235
166,53,219
183,69,252
161,61,222
167,59,226
175,69,244
176,67,243
175,71,246
170,55,225
170,51,221
170,65,235
170,70,240
162,55,217
170,59,229
174,62,236
162,61,223
164,70,234
167,60,227
161,50,211
171,63,234
163,59,222
161,47,208
173,60,233
174,68,242
166,72,238
176,70,246
168,63,231
166,46,212
174,61,235
182,71,253
171,75,246
162,59,221
168,53,221
160,56,216
173,64,237
172,63,235
158,57,215
161,66,227
173,57,230
163,66,229
167,54,221
175,74,249
166,69,235
160,48,208
164,62,226
172,56,228
172,60,232
175,71,246
173,67,240
177,70,247
161,53,214
171,65,236
160,56,216
180,58,238
163,59,222
171,46,217
191,75,266
162,60,222
178,51,229
172,57,229
184,71,255
152,57,209
174,64,238
171,58,229
183,63,246
162,45,207
169,69,238
167,62,229
165,62,227
170,53,223
169,64,233
177,57,234
165,55,220
162,64,226
167,55,222
181,64,245
170,62,232
181,67,248
171,58,229
163,61,224
165,62,227
168,61,229
170,68,238
168,62,230
172,56,228
175,70,245
174,63,237
173,66,239
167,62,229
170,71,241
173,63,236
177,65,242
171,55,226
173,57,230
169,65,234
166,68,234
165,58,223
181,56,237
176,51,227
173,52,225
175,55,230
176,64,240
171,64,235
173,55,228
169,72,241
173,52,225
166,60,226
163,68,231
172,58,230
160,65,225
158,58,216
164,64,228
153,59,212
174,58,232
162,46,208
176,65,241
166,71,237
174,67,241
157,57,214
184,58,242
179,71,250
167,69,236
173,65,238
176,61,237
172,65,237
179,70,249
157,49,206
172,61,233
163,63,226
169,58,227
172,58,230
170,66,236
178,73,251
163,44,207
173,71,244
175,53,228
168,74,242
170,50,220
158,51,209
178,54,232
175,67,242
168,67,235
166,58,224
177,67,244
164,60,224
170,71,241
166,61,227
168,66,234
165,60,225
161,55,216
168,73,241
169,61,230
170,52,222
167,70,237
185,64,249
178,63,241
154,57,211
179,65,244
166,49,215
165,54,219
161,55,216
165,60,225
158,61,219
181,81,262
180,69,249
168,65,233
180,63,243
167,68,235
178,63,241
158,60,218
169,59,228
180,65,245
170,66,236
178,61,239
161,58,219
160,58,218
172,59,231
163,63,226
170,58,228
180,75,255
171,64,235
167,67,234
180,81,261
170,69,239
180,73,253
169,64,233
174,67,241
171,58,229
169,57,226
161,60,221
175,53,228
162,52,214
160,51,211
175,67,242
171,67,238
167,62,229
157,49,206
179,65,244
172,65,237
160,61,221
168,57,225
159,47,206
179,61,240
174,59,233
174,69,243
170,67,237
161,54,215
166,70,236
161,53,214
178,68,246
162,51,213
164,51,215
165,50,215
168,56,224
174,68,242
178,70,248
165,61,226
155,49,204
167,65,232
163,60,223
175,67,242
171,69,240
163,52,215
162,68,230
172,53,225
168,74,242
169,57,226
179,71,250
172,57,229
166,64,230
162,52,214
169,59,228
171,55,226
170,52,222
166,74,240
163,62,225
168,58,226
166,63,229
169,65,234
175,65,240
169,60,229
175,63,238
168,58,226
175,54,229
169,56,225
158,58,216
158,62,220
162,69,231
179,74,253
175,58,233
165,60,225
171,47,218
168,66,234
167,67,234
164,59,223
161,59,220
163,63,226
178,67,245
159,66,225
162,58,220
158,66,224
175,69,244
177,58,235
166,60,226
164,62,226
166,58,224
183,73,256
161,50,211
168,64,232
182,77,259
171,63,234
169,64,233
159,67,226
172,64,236
174,63,237
163,67,230
175,58,233
175,72,247
173,59,232
169,59,228
172,64,236
158,52,210
180,70,250
161,58,219
180,68,248
176,78,254
174,63,237
165,50,215
185,60,245
170,70,240
176,65,241
169,46,215
163,69,232
168,62,230
172,61,233
159,65,224
165,64,229
164,44,208
161,63,224
168,63,231
174,56,230
167,65,232
168,56,224
177,77,254
175,62,237
157,56,213
163,62,225
171,61,232
168,60,228
165,67,232
168,57,225
172,61,233
168,62,230
175,60,235
175,61,236
173,61,234
184,67,251
173,58,231
167,58,225
169,58,227
166,66,232
168,62,230
171,58,229
162,71,233
161,57,218
171,64,235
157,46,203
159,53,212
168,67,235
167,76,243
165,55,220
159,68,227
167,67,234
167,71,238
178,64,242
170,77,247
171,66,237
166,63,229
156,72,228
170,74,244
173,61,234
184,71,255
173,64,237
173,65,238
181,72,253
161,61,222
174,52,226
161,48,209
167,65,232
177,61,238
175,61,236
176,61,237
170,68,238
174,58,232
156,53,209
188,63,251
167,62,229
171,57,228
169,68,237
161,59,220
182,76,258
183,75,258
164,58,222
172,65,237
176,65,241
166,59,225
165,67,232
165,54,219
167,57,224
169,61,230
182,59,241
181,68,249
163,58,221
162,67,229
161,60,221
179,63,242
155,52,207
172,69,241
162,63,225
161,63,224
175,58,233
152,58,210
162,59,221
171,66,237
167,61,228
166,64,230
173,63,236
176,71,247
173,66,239
177,60,237
173,57,230
168,63,231
180,73,253
167,60,227
166,56,222
172,58,230
163,62,225
166,61,227
157,48,205
165,58,223
171,51,222
159,56,215
167,50,217
181,72,253
168,67,235
153,51,204
176,62,238
173,61,234
185,66,251
167,43,210
165,58,223
177,60,237
162,63,225
166,54,220
169,64,233
171,68,239
172,52,224
168,62,230
168,56,224
167,78,245
179,67,246
166,61,227
172,68,240
176,57,233
182,72,254
155,55,210
174,56,230
179,61,240
171,64,235
166,69,235
167,72,239
158,49,207
160,59,219
176,60,236
175,69,244
149,41,190
162,51,213
177,60,237
164,55,219
165,66,231
182,79,261
173,73,246
168,71,239
172,64,236
159,66,225
169,61,230
171,52,223
179,69,248
175,68,243
171,58,229
166,66,232
172,56,228
165,60,225
171,61,232
172,68,240
168,61,229
169,46,215
169,66,235
173,53,226
170,62,232
160,62,222
167,56,223
153,59,212
177,70,247
177,71,248
174,67,241
167,59,226
160,60,220
172,68,240
164,50,214
165,67,232
159,58,217
158,55,213
159,51,210
165,65,230
169,64,233
179,75,254
176,69,245
163,61,224
161,68,229
168,59,227
166,59,225
161,55,216
177,81,258
177,59,236
163,69,232
163,60,223
169,46,215
181,61,242
171,64,235
173,61,234
175,54,229
174,65,239
175,61,236
172,53,225
158,58,216
170,67,237
166,62,228
163,58,221
174,61,235
167,71,238
180,71,251
171,63,234
173,64,237
174,58,232
170,69,239
174,62,236
162,57,219
172,56,228
164,62,226
159,56,215
169,60,229
160,60,220
168,60,228
177,71,248
170,70,240
160,57,217
158,61,219
171,60,231
168,61,229
162,64,226
163,56,219
182,64,246
167,67,234
165,59,224
182,63,245
174,60,234
166,62,228
178,58,236
179,55,234
175,56,231
176,57,233
155,48,203
176,78,254
171,51,222
175,60,235
158,50,208
179,59,238
176,75,251
174,58,232
170,63,233
167,70,237
172,55,227
172,61,233
176,70,246
187,69,256
171,74,245
173,65,238
172,64,236
173,67,240
165,66,231
151,52,203
172,64,236
152,51,203
164,60,224
159,61,220
169,51,220
168,54,222
173,64,237
161,62,223
179,73,252
157,55,212
185,82,267
163,61,224
165,60,225
175,57,232
167,56,223
164,54,218
175,77,252
171,66,237
